kommun;period;key;count;per100k
0120;2025;total;5075;10886.0
0120;2025;vandalism;625;1341.0
0123;1996;burglary;798;1357.0
0123;1996;drugs_weapons;189;321.0
0123;1996;person;1022;1738.0
0123;1996;theft;5035;8561.0
0123;1996;total;7907;13444.0
0123;1996;vandalism;976;1659.0
0123;1997;burglary;831;1408.0
0123;1997;drugs_weapons;271;459.0
0123;1997;person;1000;1694.0
0123;1997;theft;5086;8615.0
0123;1997;total;8005;13559.0
0123;1997;vandalism;944;1599.0
0123;1998;burglary;652;1096.0
0123;1998;drugs_weapons;356;598.0
0123;1998;person;1082;1819.0
0123;1998;theft;4479;7530.0
0123;1998;total;7398;12438.0
0123;1998;vandalism;915;1538.0
0123;1999;burglary;764;1273.0
0123;1999;drugs_weapons;262;436.0
0123;1999;person;987;1645.0
0123;1999;theft;4311;7183.0
0123;1999;total;7011;11682.0
0123;1999;vandalism;912;1520.0
0123;2000;burglary;797;1321.0
0123;2000;drugs_weapons;92;152.0
0123;2000;person;1043;1729.0
0123;2000;theft;3921;6499.0
0123;2000;total;6777;11233.0
0123;2000;vandalism;975;1616.0
0123;2001;burglary;729;1199.0
0123;2001;drugs_weapons;149;245.0
0123;2001;person;1091;1794.0
0123;2001;theft;3840;6316.0
0123;2001;total;7403;12176.0
0123;2001;vandalism;1339;2202.0
0123;2002;burglary;549;897.0
0123;2002;drugs_weapons;338;552.0
0123;2002;person;1136;1856.0
0123;2002;theft;4421;7223.0
0123;2002;total;8169;13346.0
0123;2002;vandalism;1307;2135.0
0123;2003;burglary;655;1067.0
0123;2003;drugs_weapons;170;277.0
0123;2003;person;1191;1940.0
0123;2003;theft;4216;6869.0
0123;2003;total;8088;13177.0
0123;2003;vandalism;1107;1803.0
0123;2004;burglary;799;1299.0
0123;2004;drugs_weapons;199;324.0
0123;2004;person;4122;6700.0
0123;2004;theft;3711;6032.0
0123;2004;total;13044;21203.0
0123;2004;vandalism;1015;1650.0
0123;2005;burglary;581;942.0
0123;2005;drugs_weapons;321;520.0
0123;2005;person;1286;2086.0
0123;2005;theft;3841;6230.0
0123;2005;total;7499;12163.0
0123;2005;vandalism;1053;1708.0
0123;2006;burglary;473;762.0
0123;2006;drugs_weapons;326;526.0
0123;2006;person;1397;2252.0
0123;2006;theft;3481;5611.0
0123;2006;total;7510;12105.0
0123;2006;vandalism;1052;1696.0
0123;2007;burglary;528;840.0
0123;2007;drugs_weapons;377;600.0
0123;2007;person;1377;2190.0
0123;2007;theft;3223;5125.0
0123;2007;total;6968;11081.0
0123;2007;vandalism;1039;1652.0
0123;2008;burglary;527;825.0
0123;2008;drugs_weapons;331;518.0
0123;2008;person;1877;2938.0
0123;2008;theft;3476;5441.0
0123;2008;total;7969;12473.0
0123;2008;vandalism;1164;1822.0
0123;2009;burglary;559;862.0
0123;2009;drugs_weapons;396;611.0
0123;2009;person;1754;2706.0
0123;2009;theft;3205;4944.0
0123;2009;total;8139;12555.0
0123;2009;vandalism;1452;2240.0
0123;2010;burglary;581;884.0
0123;2010;drugs_weapons;696;1059.0
